Description,FY24Budget,FY25Budget,Change,ChangePercent
CHS Classroom Teachers,"3,188,809","3,319,023","130,214",4.1%
CHS Detention/Sr. Project,"2,150","2,204",54,2.5%
CHS Equipment Repair,750,"1,000",250,33.3%
CHS Contracted Services,"28,215","25,970","(2,245)",-8.0%
CHS Supplies - Teaching/Gen'l,"9,265","9,464",199,2.2%
CHS Supplies - Family & Consumer Science,"5,600","8,500","2,900",51.8%
CHS Supplies - English/Language Arts,"1,655",983,(672),-40.6%
CHS Supplies - World Languages,"1,189","1,082",(107),-9.0%
CHS Supplies - PE,"1,778","1,576",(203),-11.4%
CHS Supplies - Math,"1,852","1,827",(26),-1.4%
CHS Supplies - Tech Ed,"11,414","15,494","4,080",35.7%
CHS Supplies - Art,"7,760","7,666",(94),-1.2%
CHS Supplies - Social Studies,637,722,85,13.3%
CHS Supplies - Science,"9,453","9,784",331,3.5%
CHS Supplies - Art Photo,"1,868","2,386",518,27.7%
CHS Supplies - Art Foundation,710,710,-,0.0%
CHS Supplies - Library,468,522,54,11.6%
CHS Supplies - Tech/Media,90,90,-,0.0%
CHS Supplies - Tech Ed Stem,"1,518","1,690",172,11.3%
CHS Textbooks,"1,980","18,711","16,731",845.0%
CHS Periodicals,"4,170","3,336",(835),-20.0%
CHS Reference Books,189,189,-,0.0%
CHS Initial Instruc. Equipment,600,"1,645","1,045",174.0%
CHS Replace Instruc. Equipment,"1,500","3,587","2,087",139.1%
CHS Furniture,750,"2,700","1,950",260.0%
CHS Dues & Fees - Classroom,"4,530","4,209",(321),-7.1%
CHS Guidance Salaries,"251,489","284,181","32,692",13.0%
CHS General Aide,768,-,(768),-100.0%
CHS Guidance Secretary,"57,447","59,163","1,716",3.0%
CHS School Secretary,"174,580","176,764","2,184",1.3%
CHS Supplies - Testing - PSAT,"5,994","6,646",652,10.9%
CHS Travel/Meetings,"1,701","1,520",(181),-10.6%
CHS Library/Media,"43,314","54,786","11,473",26.5%
CHS Media/Technology,"23,102","22,946",(157),-0.7%
CHS Supplies - Office,"1,621","1,622",1,0.1%
CHS Postage,"1,400","1,042",(358),-25.6%
CHS Printing & Publishing,"1,615","2,436",821,50.8%
CHS Rebinding,293,500,208,70.9%
CHS Dues & Fees - Admin,"11,403","11,507",104,0.9%
CHS Custodians,"397,731","446,485","48,754",12.3%
CHS Transport - Student Activities,"3,001","6,730","3,729",124.2%
CHS Extra Curric. Stipends,"72,505","81,099","8,594",11.9%
CHS Cafeteria Duty,"15,624","16,014",390,2.5%
Total Athletics,"372,039","384,828","12,789",3.4%
CMS Classroom Teachers,"1,625,366","1,750,819","125,453",7.7%
CMS Student & Parent Programs,"2,723","2,773",50,1.8%
CMS Equipment Repair,"1,000",716,(284),-28.4%
CMS Supplies - Teaching/Gen'l,"4,064","5,703","1,639",40.3%
CMS Supplies - Family & Cons. Science,860,860,-,0.0%
CMS Supplies - English/Language Arts,"1,812","1,004",(808),-44.6%
CMS Supplies - World Language,400,600,200,50.0%
CMS Supplies - PE,943,962,19,2.0%
CMS Supplies - Math,536,"3,018","2,482",462.6%
CMS Supplies - Tech Ed,600,600,-,0.0%
CMS Supplies - Art,"3,400","3,400.1",-,0.0%
CMS Supplies - Social Studies,141,206,65,45.6%
CMS Supplies - Science,"3,856","3,896",40,1.0%
CMS Supplies - Health Ed,75,83,8,10.7%
CMS Supplies - Library,240,240,-,0.0%
CMS Supplies - Tech/Media,350,350,-,0.0%
CMS Textbooks,285,108,(177),-62.1%
CMS Instructional Materials,0,"6,070","6,070",100.0%
CMS Library Books,"2,420","2,580",160,6.6%
CMS Furniture,-,525,525,100.0%
CMS Dues & Fees - Classroom,"1,692","1,562",(130),-7.7%
CMS Guidance,"88,920","98,892","9,972",11.2%
CMS Tutor - Lang Arts Lab,-,"24,675","24,675",100.0%
CMS Tutor - Math Lab,-,"24,500","24,500",100.0%
CMS School Secretaries,"85,693","77,596","(8,097)",-9.4%
CMS Supplies - Guidance,200,199,(1),-0.5%
CMS Supplies - Testing Materials,"1,460","1,600",140,9.6%
CMS Travel/Meetings,500,500,-,0.0%
CMS Library/Media,"27,707","36,724","9,017",32.5%
CMS Media/Technology,"21,854","22,946","1,092",5.0%
CMS Supplies - Office,924,925,1,0.1%
CMS Postage,100,885,785,784.5%
CMS Printing & Publishing,"1,571","2,085",514,32.7%
CMS Dues & Fees - Admin,"1,225","1,395",170,13.9%
CMS Custodians,"60,715","70,552","9,837",16.2%
CMS Transportation - Athletics,"6,237","6,904",667,10.7%
CMS Transportation Stud. Act/Late Bus,-,"2,027","2,027",100.0%
CMS Extra Curriculum Stipends,"32,109","36,477","4,368",13.6%
CMS Cateria Duty Stipend,"10,416","10,604",188,1.8%
CMS Coaching Stipends,"15,614","19,084","3,470",22.2%
CMS Officials/Timekeepers,"2,010","2,280",270,13.4%
CMS Chaperones,525,525,-,0.0%
CMS Supplies - Athletic,975,"1,000",25,2.6%
CMS Athletic Awards/Uniforms,500,500,-,0.0%
CMS Dues & Fees - Athletics,300,400,100,33.3%
CIS Classroom Teachers,"2,193,470","2,243,836","50,366",2.3%
CIS Enrichment Teacher,"29,530","34,634","5,104",17.3%
CIS Equipment Repairs,500,"2,302","1,802",360.4%
CIS Contracted Services,-,"2,300","2,300",100.0%
CIS Supplies - Teaching,"15,456","17,299","1,843",11.9%
CIS Supplies - English/Language Arts,"7,783","7,774",(9),-0.1%
CIS Supplies - PE,"1,704","1,958",254,14.9%
CIS Supplies - Math,"1,179","1,383",204,17.3%
CIS Supplies - Assignmt & Portfolios,180,"1,077",896,497.4%
CIS Supplies - Art,"4,858","4,947",90,1.8%
CIS Supplies - Social Studies,"8,008","9,930","1,922",24.0%
CIS Supplies - Science,"2,365","1,089","(1,276)",-54.0%
CIS Supplies - Library,"1,067","1,072",5,0.5%
CIS Supplies - Tech/Media,861,"1,346",485,56.3%
CIS Supplies - Challenge,620,"1,447",828,133.6%
CIS Instructional Materials,(225),"11,288","11,513",-5117.1%
CIS Periodicals/Library Books,"6,981","7,515",535,7.7%
CIS Reference Books,"1,671","3,164","1,493",89.3%
CIS Replacement Instruc. Equipment,-,"1,624","1,624",100.0%
CIS Furniture,170,"4,399","4,229",2487.9%
CIS Dues & Fees - Classroom,"2,077","1,957",(120),-5.8%
CIS Guidance,"104,244","61,346","(42,898)",-41.2%
CIS General Aide,"122,187","140,361","18,174",14.9%
CIS School Secretary,"160,086","166,678","6,592",4.1%
CIS Supplies - Guidance,145,351,206,142.6%
CIS Supplies - Testing Materials,"3,876","4,883","1,007",26.0%
CIS Travel/Meetings,"1,475","1,180",(295),-20.0%
CIS Library/Media,"76,046","83,436","7,390",9.7%
CIS Media/Technology,"20,610","23,069","2,459",11.9%
CIS Supplies - Office,"2,739","2,630",(109),-4.0%
CIS Postage,100,772,672,672.0%
CIS Printing & Publishing,"1,524","1,967",443,29.1%
CIS Dues & Fees - Admin,240,564,324,135.0%
CIS Custodians,"250,328","199,450","(50,878)",-20.3%
CIS Trans - Student Activities,"2,031","2,232",201,9.9%
CIS Extra Curric. Stipends,"40,766","44,495","3,729",9.1%
CIS Monitors,"32,334","47,492","15,158",46.9%
CIS Outside Speakers,"6,500","6,512",12,0.2%
CIS Student Awards/Programs,"1,191","1,420",229,19.3%
CIS Suppplies - Student Leadership,"4,940","4,940",-,0.0%
CBS Classroom Teachers,"2,278,617","2,452,530","173,913",7.6%
CBS Kindergarten Orientation,"1,500","3,000","1,500",100.0%
CBS Enrichment Teacher,"48,186","49,429","1,243",2.6%
CBS Supplies - Teaching,"20,731","36,966","16,234",78.3%
CBS Supplies - PE,"1,180","1,317",137,11.6%
CBS Supplies - Math,"2,897",501,"(2,396)",-82.7%
CBS Supplies - Art,"1,867","2,280",413,22.1%
CBS Supplies - Social Studies,340,106,(234),-68.8%
Audio Visual Supplies,-,963,963,100.0%
CBS Supplies - Science,"1,720","1,915",195,11.3%
CBS Supplies - Health Ed,116,52,(64),-55.0%
CBS Supplies - STEAM,644,643,(1),-0.2%
CBS Supplies - Tech/Media,"2,488","2,173",(315),-12.6%
CBS Supplies - Pre-K,739,630,(109),-14.8%
CBS Subscriptions,"2,417","3,147",730,30.2%
CBS Reference Books,762,-,(762),-100.0%
CBS Library Books,"4,979","5,425",446,8.9%
CBS Replace Instruc. Equipt,-,350,350,100.0%
CBS Furniture,"2,500","2,112",(388),-15.5%
