Description,FY24Budget,FY25Budget,Change,ChangePercent
CHS Classroom Teachers,"3,188,809","3,277,643","88,834",2.80%
CHS Detention/Sr. Project,"2,150","2,204",54,2.50%
CHS Equipment Repair,750,"1,000",250,33.30%
CHS Contracted Services,"28,215","25,970","-2,245",-8.00%
CHS Supplies - Teaching/Gen,"9,265","9,464",199,2.10%
CHS Supplies - Family & Consumer Science,"5,600","7,500","1,900",33.90%
CHS Supplies - English/Language Arts,"1,655",983,-672,-40.60%
CHS Supplies - World Languages,"1,189","1,082",-107,-9.00%
CHS Supplies - PE,"1,778","1,576",-202,-11.40%
CHS Supplies - Math,"1,852","1,827",-25,-1.30%
CHS Supplies - Tech Ed,"11,414","13,494","2,080",18.20%
CHS Supplies - Art,"7,760","7,666",-94,-1.20%
CHS Supplies - Social Studies,637,722,85,13.30%
CHS Supplies - Science,"9,453","9,784",331,3.50%
CHS Supplies - Art Photo,"1,868","2,386",518,27.70%
CHS Supplies - Art Foundation,710,710,-,0.00%
CHS Supplies - Library,468,522,54,11.50%
CHS Supplies - Tech/Media,90,90,-,0.00%
CHS Supplies - Tech Ed Stem,"1,518","1,690",172,11.30%
CHS Textbooks,"1,980","8,711","6,731",339.90%
CHS Periodicals,"4,170","3,336",-834,-20.00%
CHS Reference Books,189,189,-,0.00%
CHS Initial Instruc. Equipment,600,"1,645","1,045",174.20%
CHS Replace Instruc. Equipment,"1,500","3,587","2,087",139.10%
CHS Furniture,750,"2,700","1,950",260.00%
CHS Dues & Fees - Classroom,"4,530","4,209",-321,-7.10%
CHS Guidance Salaries,"251,489","284,181","32,692",13.00%
CHS General Aide,768,-,-768,-100.00%
CHS Guidance Secretaries,"57,447","59,163","1,716",3.00%
CHS School Secretaries,"174,580","176,764","2,184",1.30%
CHS Supplies - Testing - PSAT,"5,994","6,646",652,10.90%
CHS Travel/Meetings,"1,701","1,520",-181,-10.60%
CHS Library/Media,"43,314","47,786","4,472",10.30%
CHS Media/Technology,"23,102","22,946",-156,-0.70%
CHS Supplies - Office,"1,621","1,622",1,0.10%
CHS Postage,"1,400","1,042",-358,-25.60%
CHS Printing & Publishing,"1,615","2,436",821,50.80%
CHS Rebinding,293,500,207,70.60%
CHS Dues & Fees - Admin,"11,403","11,507",104,0.90%
CHS Custodians,"397,731","446,485","48,754",12.30%
CHS Transport - Student Activities,"3,001","6,730","3,729",124.30%
CHS Extra Curric. Stipends,"72,505","77,539","5,034",6.90%
CHS Cafeteria Duty,"15,624","16,014",390,2.50%
CMS Classroom Teachers,"1,625,366","1,735,819","110,453",6.80%
CMS Student & Parent Programs,"2,723","2,773",50,1.80%
CMS Equipment Repair,"1,000",716,-284,-28.40%
CMS Supplies - Teaching/Gen,"4,064","5,703","1,639",40.30%
CMS Supplies - Family & Cons. Science,860,860,-,0.00%
CMS Supplies - English/Language Arts,"1,812","1,004",-808,-44.60%
CMS Supplies - World Language,400,600,200,50.00%
CMS Supplies - PE,943,962,19,2.00%
CMS Supplies - Math,536,"3,018","2,482",463.10%
CMS Supplies - Tech Ed,600,600,-,0.00%
CMS Supplies - Art,"3,400","3,400",-,0.00%
CMS Supplies - Social Studies,141,206,65,46.10%
CMS Supplies - Science,"3,856","3,896",40,1.00%
CMS Supplies - Health Ed,75,83,8,10.70%
CMS Supplies - Library,240,240.1,-,0.00%
CMS Supplies - Tech/Media,350,350,-,0.00%
CMS Textbooks,285,108,-177,-62.10%
